Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY
شو رايك بالمسلسل الجديد,حلو ما اشبو,ايه رأيك في المسلسل الجديد,حلو مافيهوش حاجة
حاسس حالي بدي امرض,ريح جسمك و خود بانادول,حاسس نفسي حعيا,ريح جسمك وخد بانادول
وجك مصفر كان شايف شبح,استفرغت مرتين الصبح,وشك مصفر كانك شايف شبح,رجعت مرتين الصبح
عندك رفقا باميركا,"ايه، عندي شي ٢ قريبين مني كتير",عندك صحاب في امريكا,"اه، عندي حوالي ٢ قريبين مني جدا"
مبين عليك مريض كتير,شكلني مهموم كتير ايه,باين عليك تعبان جدا,شكلي مهموم جدا صح
كان شايفتك من قبل,لا ما بعتقد,كاني شفتك قبل كدة,لا ماعتقدش
شكلك مبسوطة كتير شو صاير,ربحت اللوتو اليوم,شكلك مبسوط جدا ايه الي حاصل معاك,كسبت اللوتو انهردة
عم نحكي كتير عالتلفون بس لسا ما شفتك,خلص الأسبوع الجايي,بنتكلم كتير علي التلفون بس لسا مشفتكش,خلاص الأسبوع الجاي
شو رح تعمل بس ترجع من اميركا,فتش على شغل,حتعمل ايه لما ترجع من امريكا,دور على شغل
شو مشاريعك بعد التخرج,بدي كفي دكتورا,ايه مشاريعك بعد التخرج,عايز اكمل دكتوراه
شو بدك نعمل اليوم,منغدى سوا احلى شي,عايز نعمل ايه انهردة,نتغدى سوا احلى حاجة
بدي بلش دايت نصحانة,لازم كرمال صحتك,عايز ابتدي دايت تخنانه,لازم عشان صحتك
اليوم رحت عالملاهي مع رفقاتي,انشالله نبسطو؟,انهردة رحت الملاهي مع صحابي,انشاءالله انبسطوا؟
كيفن الولاد صرلي زمان ما شفتن,الحمدالله كبرانين بسلمو عليكي,ايه اخبار الولاد مشفتهمش من زمان,الحمدلله كبرانين بيسلوا عليكي
ناطر مناطرة ليخلص السمستر,يالله بعدلو شهرين و بيخلص,مستني عشان يخلص السمستر,يالله لسة فضله شهرين و يخلص
شو رايك نروح عالسينما,لا ما في أفلام حلوة,ايه رأيك نروح على السينما,لا مافيش أفلام حلوة
فيك تديني مصاري لاخر الشهر,طفران و ما معي الف بجيبتي,ممكن تديني فلوس عشان اخر الشهر,مفلس وماعيش جنيه في جيبي
اهلا و سهلا اشتقنالك,يا هلا و انا اشتقتلك,اهلا و سهلا واحشنا,يا أهلا و انت وحشتني
الطقس كتير حلو,ايه شمس و برود,الجو حلو جدا,اه شمس و برد
"مسا الخير، فيي اقعد حدكن",اكيد اهلا و سهلا,"مساء الخير، ممكن اقعد جمبكم",اكيد اهلا و سهلا
شو طلع جواب اخر سؤال,ما بعرف ما قلنا الدكتور لسا,طلعت ايه اجابة اخر سؤال,ماعرفش الدكتور قلناش لسا
صوت الراديو كتير عالي,بعتذر هلق بوطي,صوت الراديو عالي جدا,بعتذر هوطي دلوقتي
شو بيعمل رفيقك بالحياة,بيشتغل بمطعم,بيعمل ايه صحبك في حياته,بيشتغل في مطعم
بتعرفلك شي ميكانيسيان شاطر,في واحد آخر الشارع و كتير آدمي,تعرف ميكانيكي شاطر,في واحد آخر الشارع و محترم جدا
كيفك و كيف ايامك,تمام والله كل شي ممتاز,اخبار ايه و ايه اخبار ايامك,تمام والله كل حاجة ممتازة
ايمتى بدنا نفرح فيكي و نشوفك عروس,لخلص الجامعة بالاول و كلو منيح,امتى نبدا نفرح بيكي و نشوفك عروسة,اخلص الجامعة الاول و يبقى كله كويس
ليش ما بتنضف اوضتك,ما قلي خلق و تعبان,ليه ماتنضفش اوضتك,ماليش خلق و تعبان
اليوم كتير تعبان ومهموم,حلينا نضهر لكان نغيرلك جو,انهردة تعبان جدا و مهموم,خلينا نخرج عشان نغيرلك جو
خيي انضم للجيش مبارح,ايوا الف مبروك,اخويا انضم للجيش امبارح,ايوا الف مبروك
الجامعة صايرة كتير صعبة و مزعجة,كل شي هالايام ما عم يكون سهل,الجامعة بقت صعبة جدا و مزعجة,كل حاجة الايام ديه مش بتكون سهلة
بكره هالطقس,صح شوب و قرف,بكره الجو ده,صح حر و قرف
اليوم شو,اليوم الخميس,انهردة ايه,انهردة الخميس
كيف التيتا و جدو,تعبانبن شوي و يمكن ما يقدرو يجو بكرا,ايه اخبار تيتا و جدو,تعبانين شوية و يمكن ما يقدروش يجوا بكرا
انا مسافر الأسبوع الجاي,تروح و ترجع بالسلامة,انا مسافر الأسبوع الجاي,تروح و ترجع بالسلامة
شو عم تقرا,كتاب جديد هدية اجاني,بتقرا يه,كتاب جديد جالي هدية
خلصت الترويقة,يالله شوي و بجي,خلصت الفطار,يالله شوية و جي
عاملين معكرونة بلحمة عالغدا,اووه بس انا ما بحبا,عاملين مكرونة بالحمة عالغدا,اووه بس انا محبهاش
المدرسة احلا فترة بحياة الولد,ايه بس الجامعة بعد احلا و احلا,المدرسة احلا فترة في حياة الولد,اه بس الجامعة لسة احلا و احلا
شو مشاريعك بالليل,بدي اتعشا عند رودستر,ايه مشاريعك بالليل,عايز اتعشا عند رودستر
اشتريتنا بسية جديدة اليوم,شو سميتوها؟,اشتريت قطة جديدة انهردة,سميتوها ايه؟
بعد ٦ أسابيع بيخلص السمستر,كآن كتير طول و زهقنا,بعد ٦ أسابيع يخلص السمستر,كان طول جدا و زهقنا
مين اولك بيربح اليوم,بحس الفريق الآحمر,مين في رأيك حيكسب النهردة,احس الفريق الاحمر
كيفك حبيبي و كيف الولاد,بسلمو عليك الكل بخير,عامل ايه يحبيبي وعاملين ايه الاولاد,بيسلموا عليك الكل بخير
بدي احكيك ضروري,يالله نص ساعة و بكون عندك,عايز اكلمك ضروري,يالله نص ساعة واكون عندك
المكنة منزوعة,من وين بدنا نجيب قهوة هلق,المكنة بايظة,حنجيب منين قهوة دلوقتي
مبروك ربحت الماراتون,متت والله لوصلت لهيدي المرحلة,مبروك كسبت المارثون,متت والله لحد ماوصلت للمرحلة ديه
بدي الطابة الزرقا,اوكي حبيبي,عايز الكورة الزرقا,اوكي حبيبي
صباحو كيف الحلوين,تمام انتا كيفك,صباح الخير عاملين ايه الحلوين,تمام انتا ايه اخبارك
كتير انبسطت بالقعدة,ايه و العشا طيب,انبسطت جدا في القعدة,اه و العشا حلو
اخدت المفاتيح,اوه منيح زكرتني,اخدت المفاتيح,اوه كويس فكرتني
ما بحب الأفلام الكوميديا,ايه و انا هيك,مابحبش افلام الكوميديا,اه وانا كدة
بتحب الاكشن,ايه خصوصي أفلام السيارات,بتحب الأكشن,اه خاصة افلام العربيات
مبين تعبان,ايه سهران عالشغل,باين تعبان,اه سهران على الشغل
فيك تعطيني صحن اللبنة,يالله هلق بمرقلك ياه,ممكن تديني طبق اللبنة,يالله دلوقتي هعديهولك
من وين جايب كنزتك,من السوق,جايب قميصك منين,من السوق
فتحو المطاعم او لسا,الأسبوع الجاي كلو بيفتح,فتحو المطعم ولا لسا,الأسبوع الجي كله حيفتح
مضطرة انو فل هلق,بكير والله,مضطرة امشي دلوقتي,بدري والله
فكرتو تنقلو بيتكن,ايه مش مرتاحين هون,فكرتو تنقلو بيتكم,اه مش مرتاحين هنا
شو العشا اليوم,فينا ناكل برا,ايه العشا انهردة,ممكن ناكل بكرا
لسا ما جبت اخبار حلوة,شايف وضع البلد,لسا ما جبتش اخبار حلوة,شايف وضع البلد
بتفضل البيت الزغير ؟,ايه و ازا بالجبل احلا و احلا,بتفضل البيت الصغير ؟,اه واذا في الجبل احلا و احلا
كيف طريقك الليوم ؟,بدي امرق عالماما ارجع كفي عبيروت,ايه طريقك انهردة ؟,عايز اعدي على ماما ارجع اكمل على بيروت
شو قلك الدكتور,لازم ريح جسمي,قلك ايه الدكتور,لازم اريح جسمي
كيف وضع البلد ؟,رايح عالاسوأ,ايه وضع البلد ؟,رايح للأسوأ
بدي اطلب اكل,هلقد جوعان,عايز اطلب اكل,للدرجادي جعان
هالمغلمة كتير بتحب تلاميزا,وهني بحبوها اكتر,المعلمة ديه بتحب تلاميذها جدا,وهما بيحبوها اكتر
العمر مش دليل عالوعي,صح الوعي ما بينقاس بالاعمار,العمر مش دليل على النضج,صح الوعي مابينقسش بالاعمار
ماما جبنالك ورد,يسلمو حبيباتي,ماما جبنالك ورد,تسلموا يا حبايبي
بحي الامحل النضيف و الرايق,دخل رواقك,بحب المحل النضيف و الرايق,يا سلام على رواقانك
كيفو الحلو,بسلم عليك,عامل ايه الحلو,بيسلم عليك
الامتحان كان كتير صعب,لو جابو اسهل شو كان صرلو,الامتحان كان صعب جدا,لو جابه اسهل كان حصله ايه
عجبتك الحفلة,مش كتير,عجبتك الحفلة,مش اوي
شو رايك في ؟,ما حبيتو كتير,ايه رأيك فيه ؟,ماحبيتوش اوي
اليوم ضاهرة عالسوق,مبارح كنت و ما في شي حلو,انهردة رايحة السوق,امبارح كنت مافيش حاجة حلوة
الناس جانة على هالاسعار الجديدة,صح الغلا ما طبيعي,الناس جنت على الاسعار الجديدة,صح الغلاء مش طبيعي
ممكن نروح نتروق سوا بكرا ؟,وين بتحب نتروق,ممكن نروح نفطر مع بعض بكرا ؟,تحب نفطر فين
كيف الشغل ؟,تعب كتير,ايه اخبار الشغل ؟,تعب جدا
راسي مش عم يتحمل توتر,ايه حقك,راسي مش متحمل التوتر,اه حقك
نعسان كتير,طب فوت نام,نيمان جدا,طب خش نام
انا بدي اعزمك على عرسي,ايوا مش لتخطبي بالاول,انا عايز اعزمك على فرحي,ايوا مش لما تخطبي الاول
كتير متوتر من امتحان السواقة,ما تعتل هم,متوتر جدا من امتحان السواقة,ماتشلش هم
ليش لسا ما غسلت السيارة ؟,ما قدرت و ما في وقت,ليه لسا مغسلتش العربية ؟,ماقدرتش و مافيش وقت
شو اكتر لون بتحبو ؟,بحب الأزرق و الأحمر,ايه اكتر لون بتحبه ؟,بحب الأزرق و الأحمر
عندي امتحان بكرا,موفق حبيبي,عندي امتحان بكرا,بالتوفيق يا حبيبي
عنجد انو مريض كتير,ايه شو عم مثل,بجد تعبان جدا,اه ليه فاكرني بمثل
كيف الصحة كلو رواق,ايه ماشي الحال,ايه الصحة كله رايق,اه ماشي الحال
لوين رايح ؟,نازل على الدكانة جيب غرضين و جايي,رايح فين,نازل على المحل اجيب شواية حاجات و جي
يعطيك العافية شو اسم حضرتك ؟,ليش شو بدك ؟,يرزقك العافية ايه اسم حضرتك ؟,ليه عايز ايه ؟
شو مسهرك لهلق؟,الدرس! عم اشتغل على مشروع التخرج,ايه الي مسهرك لدلوقتي؟,المذاكرة! بشتغل على مشروع التخرج
كيف الصيام معك؟,الحمدلله. متعب شوي بس تمام,ايه اخبار الصيام معاك؟,الحمدلله. متعب شوية بس تمام
ايا ساعة حتفيق بكرا؟,ما بعرف. ليش عم تسأل ؟,حتصحى بكرا الساعة كام؟,ماعرفش. ليه بتسأل ؟
شو حتعمل بس يخلص هالفصل؟,عندي تدريب صيفي,حتعمل ايه لما تخلص الفصل ده؟,عندي تدريب صيفي
مبروك التخرج يا باش مهندس!,حبيبي عقبال عندك,مبروك التخرج يا باش مهندس!,حبيبي عقبال عندك
مبين نصحان!,ايه عالحجر,باين تخنان,اه من الحجر
فيك تخبرني اكثر عن حفلة الربيع؟,حنتجمع كلنا اول شهر اربعة. بتحب تجي؟,ممكن تقلي اكتر عن حفلة الربيع,حنتجمع كلنا اول شهر اربعة. تحب تيجي؟
قررت وقف تدخين,لك برافو عفاك!,قررت اوقف تدخين,يا عم برافو!
عرفت مين حيتجوز؟,لا ما عرفت. مين؟,عرفت حيتجوز مين؟,لا ماعرفش. مين؟
ما تخلي ببالك شي وما تعصب,ايه ما في شي مستاهل,ماتخليش في بالك حاجة و متتعصبش,ايه مافيش حاجة مستهلة
حتصير نص ليل! كل عام وانت بخير!,وانت بخير حبيبي,حيجي نص اليل! كل عام وانت بخير!,وانت بخير يحبيبي
شو حتعمل اكل عالأفطار بكرا؟,شوربة وفتوش ومنسف,حتعمل اكل ايه بكرا عالفطار؟,شوربة و فتوش و منسف
شو تسحرت؟,منقوشة جبنة وسجق,اتسحرت ايه؟,منقوشة جبنة و سجق
يا زلمة كتير عم ضيع وقت,شيل التلفون من ايدك وركز,يا راجل بتضيع وقت كتير,شيل التلفون من ايدك و ركز
شو مين شاغلك بالك؟,محدا محدا,مين شاغل بالك؟,محدش محدش
ايا ساعة حتنام؟,حصلي الفجر ونام,حتنام الساعة كام ؟,حصلي الفجر و انام
ما تنسى تفرشي سنانك قبل ما تنام,ايه هياني قايم,ما تنسيش تغسلش سنانك قبل ما تنامي,اه اهو انا قايم
انتبه كتير تقال. احملن معك؟,لا بقدر احملن لحالي شكرا,خالي بالك تقال جدا. اشيلهم معاك؟,لا مقدرش اشيلهم لواحدي شكرا
انت بتشتغل شي؟,لا بعدني تلميذ,انت بتشتغل حاجة؟,لا انا لسة تلميذ
طفي المكيف تلج قلبي!,كتير شوب البس عليك الكنزة,طفي التكيف تلجت!,حر جدا البس عليك قميص
لازم نروح نمشي بعد الظهر,انسى تعبان من الصيام,لازم نروح نمشي بعد الضهر,انسى تعبان من الصيام
انا مش جايي الأحد روحوا بلاي,ليش؟! القعدة ما بتحلا بلاك,انا مش جي الحد روحوا من غيري,ليه؟! القعدة ما بتحلاش من غيرك
اذا ما بتقدر تجي الأحد منعملها السبت,بشوف وبردلكن خبر,لو ماقدرتش تيجي الحد نعملها السبت,اشوف و اردلكم خبر
حتسلم الفرض عالوقت؟,ايه. حتكون صعبة عليي بس لازم اعملوا,حتسلم الواجب عالوقت؟,اه. حتكون صعبة عليا بس لازم اعملوا
انا ما بعتب عليك بعتب عالظروف,حبيبي ما تواخذني,انا بعاتبش عليك في الظروف ديه,حبيبي ماتأخذنيش
ماما انا ضاهر بدك جيب معي شي؟,جيب ربطة خبز للغدا,ماما انا خارج عايزة اجبلك حاجة معايا؟,جيب كيس عيش للغدا
شو بدكن تتغدو؟,بابا راح يجيب فروج,عايزين تتغدوا ايه؟,بابا رايح يجيب فراخ
بس تروحي تجيبي اللحمة بدك تاخديني معك,ليش؟ قلي شو بدي جبلك مش ضروري تروح,اول اما نروحي تجيبي اللحمة خديني معاكي,ليه؟ قلي عايز ايه اجبلك مش ضروري تروح
على ايا ساعة الأفطار,عالساعة سبعة,على انهي ساعة الفطار,عالساعة سبعة
تروح تلعب فوتبول بعد الأفطار؟,انسى ما بكون الي خلق اتحرك بعد الأفطار,تروح تلعب كورة بعد الأفطار؟,انسى مابيكنش ليا خلق اتحرك بعد الأفطار
شو علقان مع الحلاق؟,لا مش عم روح لعندو بسبب الكورونا,ايه متخانق مع الحلاق؟,لا مش بروح عنده بسبب الكورونا
صليت؟,لا بعد شوي بقوم,صليت؟,لا بعد شويا حقوم
ليش شكلك تعبان؟,بعدني مش نايم,ليه شكلك تعبان؟,لسة مانمتش
يلا فيق بدي ابعتك عالمصبغة,يلا قمت قمت,يلا اصحى عايز ابعتك على المصبغة,يلا قايم قايم
مين حينزل يجيب بيّك من المطار؟,يمكن عمو ينزل,مين حينزل يجيب ابوك من المطار؟,يمكن عمو ينزل
يلا قوم حضر حالك لنروح نكزد شوي,يلا بس لألبس عليي,يلا قوم حضر نفسك عشان نروح نتمشى شوية,يلا بس البس حاجة عليا
ليش حابس حالك بل الغرفة؟,عم ادرس مضغوط,ليه حابس نفسك في الاوضة ديه؟,بذاكر مضغوط
بدك تاكل بطاطا مقليّة؟,لا ما بدي. بدي اكلها مسلوقة,عايز تاكل بطاطس مقلّية؟,لا مش عايز. عايز اكلها مسلوقة
وين بدك تحضر الماتش اليوم؟,بالبيت. ما الي نفس شوف حدا,عايز تتفرج على الماتش فين انهردة؟,في البيت. ماليش نفس شوف حد تاني
ليش معصب؟,مش معصب حل عني,ليه متعصب؟,مش متعصب سبني في حالي
شفتيلي وين حطيت علبة الدوا؟,لا ما شفتا,شفتيلي حطيت علبة الدوا فين؟,لا ما شفتهاش
سوق على مهلك وما تتأخر,حاضر. جبلك معي شي؟,سوق على مهلك و ما تتأخرش,حاضر. اجبلك معايا حاجة؟
بدي نام معش اطلع صوت,مش عم طلع صوت,عايز انام مطلعش صوت,مش بطلع صوت
انا عم فكر ابقى انا و ياك سهرانين للصبح,ايه مش غلط,انا بفكر ابقى انا و انت سهرانين للصبح,اه مش غلط
عم تحكي حدا من اصحابك؟,لا ابدا مش عم يكون عندي وقت,بتكلم حد من اصحابك,لا ابدا مش بيكون عندي وقت
صباح الخير يا حلو,يسعدلي هالصباح يا قمر.,صباح الخير يا حلو,صباح السعادة يا قمر.
شو كيفك شو اخبارك؟ كيفو بيّك؟,الحمدلله بسلم عليك,ايه عامل ايه ايه اخبارك؟ عامل ايه ابوك؟,الحمدلله بيسلم عليك
خلي قلبك قوي وما تخلي شي يهزمك,حبيبي انشالله,خلي قلبك قوي و ماتخليش حد يهزمك,حبيبي انشاءالله
لوين رحت ؟,هون بالضيعة عم اعمل رياضة,رحت فين ؟,هنا في القرية بعمل رياضة
كم امتحان عندك؟,عندي خمسة,عندك كام امتحان؟,عندي خمسة
ايمتى بتخلص جامعة؟,بعد اسبوعين,امتى بتخلص جامعة؟,بعد اسبوعين
سكر هيدا الباب,ليش بدي سكرو؟,اقفل الباب ده,اقفلوا ليه؟
شو كيف كان درس الخياطة اليوم؟,حلو اتسليت,ايه كان عامل ايه درس الخياطة انهردة؟,حلو اتسليت
لازم نروح بكرا نسلم على جدو,ايه لازم,لازم نروح بكرا نسلم على جدو,اه لازم
كم وحدة بعد عندك؟,حوالي الأربعين,عندك كام وحدة لسة؟,بعد اسبوعين
شو في ما في؟,ما في شي,ايه الاخبار؟,مافيش
شو مفروض نعمل هلأ؟,ما شي. منّا ننطر الفرج,المفروض نعمل ايه دلوقتي؟,ولا حاجة. حنستىى فرج الله
شو جاهز للسفر؟,ايه بس متوتر شوي,ايه الي جاهز للسفر؟,اه بس متوتر شوية
خلينا ننزل عالبستان انقطف ليمون,ماشي يلا انا جاهز,خلينا ننزل على البستان نقطف لمون,ماشي يلا انا جاهز
وين منا نزبط دولاب السيارة؟,هون أول الطريق في بنشرجي,حنزبط عجلة العربية امتى؟,هنا أول الطريق فيه ميكانكي
ايا ساعة بدك تتحمم؟,بعد شي ساعة,حتسحمى الساعة كام؟,بعد حوالي ساعة
مش طايقك,ليش انا شو عاملك؟,مش طايقك,ليه انا عاملك ايه؟
شو هالتفكير الي عليك! بقرف!,احترمي حالك,ايه التفكير الي عليك ده! يقرف!,احترمي نفسك
تعى اسقي الزريعات,ما الي خلق,تعالى اسقي الزرع,ماليش خلق
هيدي كهربا الدولة او الأشتراك,الدولة. اجت عالساعة ستة,ديه كهربة الدولة ولا الأشتراك,الدولة. الساعة جت ستة
يلا تعى عالأكل,مش جاي عبالي,يلا تعالى عالأكل,مش جي على نفسي
تعبان من كل شي وما الي خلق عشي,كلن بعد اسبوعين ومنخلص,تعبان من كل حاجة و ماليش خلق على حاجة,كلها اسبوعين و نخلص
نعسان بدي نام,قوم مين مانعك,نيمان جدا عايز انام,قوم مين مانعك
قلتلك بدي المنقوشة مشروحة ليه جايبها هيك؟,نسيت قلو يشرحها,قلتلك عايز المنقوشة كبيرة ليه جايبها كدة؟,نسيت اقله يشرحها
"الو, تفضل كيف فيي اخدمك؟",عمال معروف بدي وصي عمناقيش للسحور,"الو, اتفضل ممكن اخدمك اذاي؟",اعمل معروف عايز اطلب مناقيش على السحور
ليش عم تبكي؟,"مش عم ابكي, عيوني مدمعين من البصل",بتعيط ليه؟,"مش بعيط, عيوني مدمعة من البصل"
لازم تروح تزور بيت جدك,صح لازم نروح نزورن,لازم تروح تزور بيت جدك,صح لازم نزرهم
ايا ساعة عم تفيق؟,عم فيق شوي مأخر. ليش؟,بتصحى الساعة كام؟,بصحى متأخر شوية. ليه؟
خلصت شغل؟,لا ما خلصت بس اخد استراحة,خلصت شغل؟,لا ماخلصتش بس اخد استراحة
ما بيسوى اتضلك تشتغل هيك لازم ترتاح,صح معك حق,مش كويس تفضل تشتغل كدة لازم ترتاح,صح معاك حق
ليش متضايق شو في؟,مني متضايق ابدا,ليه متضايق في ايه؟,مش متضايق خالص
شو بدي اسكبلك بصحنك؟,بدي فروج وفتوش,عايز احطلك ايه؟,عايز فرخة و فتوش
تعملي فنجان نسكافيه؟,ايه حاضر,تعملي فنجان نسكافيه؟,اه حاضر
كيفو بيك؟,منيح ماشي حالوا,عامل ايه ابوك؟,كويس ماشي حاله
جاي عبالي اكل بفتيك,نهار الأربعا بجيب من عند اللحام وبعملك,جي على بالي اكل بفتيك,نهار الأربع حجيب من عند الجزار و اعملك
بتقدر تنشرلي الغسيل؟,ايه اكيد,تقدر تنشرلي الغسيل؟,اه اكيد
حطيت الأكل للدجاج؟,ايه حطيتو و سكرت عليهن,حطيت الأكل للفراخ؟,اه حطيتوا و قفلت عليهم
سقيت الزريعات؟,ايه سقيتن,سقيت الزرع؟,اه سقتهم
شو بدي جبلك من عند الخضرجي؟,جيب فواكه مشكلة,عايز اجبلك ايه من عند الخضارجي؟,جيب فواكه مشكلة
اديه عمرك؟,عمري تنين وعشرين سنة,قد ايه سنك؟,عندي اتنين و عشرين سنة
انت من وين؟,ليش عم تسأل؟,انت منين؟,ليه بتسأل؟
شو مشاريعك بعد التخرج؟,والله مش عارف بعد,ايه مشاريعك بعد التخرج؟,والله مش عارف لسة
كنت ناوي اليوم بلش درس,وليش ما بلشت؟,كنت ناوي انهردة ابدا مذاكرة,و ليه مابدأتش؟
شو عاملين دبيحة عالعيد؟,ما بعرف,عاملين دبيحة ايه على العيد؟,ماعرفش الدكتور قلناش لسا
نشاالله بتقدم و بتنقبل,حبيبي شكرا,انشاءالله تقدم و تتقبل,حبيبي شكرا
ليك شفتيلي التليفون شي؟,لا ما شفتو. ايمتى ضيعتو؟,بقلك شفتيلي التليفون ولا ايه؟,لا ماشفتوش. ضيعه امتى؟
ناولني كيس المحارم,هياه حدك,ناولني كيس المناديل,اهه جمبك
بدي تنين كيلو ريش غنم وكيلو شقف للشوي,تكرمي عشر دقايق بكونو جاهزين,عايز اتنين كيلو ريش غنم و كيلو حتت للشوي,تسلمي عشر دقايق و يكونو جاهزين
يلا قوم صارت الساعة سبعة,ليش شو في؟,يلا قوم الساعة بقت سبعة,ليه في ايه؟
حميلي الأزان بدي اتحمم,بس تيجي الكهرباء,شغلي السخان عايز استحمى,اول ما تيجي الكهربا
حط الكمامة قبل ما تفوت,حاضر,حط الكمامة قبل ماتخش,حاضر
والله البلد كلو غلا بغلا تعبت,انشالله بتهون,والله البلد كله غلا تعبت جدا,انشالله تهون
جهز تيابك الوسخين بدي دور الغسالة,جاهزين. حطيتن بالسلة لي حد الحمام,جهز هدومك المتوسخة عايز اشغل الغسالة,جاهزين. حطتهم في السلة الي جمب الحمام
تساعدني بتنضيف البيت؟,اكيد هلأ ابمسح معك غبرة,تساعدني في تنضيف البيت؟,اكيد دلوقتي حمسح معاك التراب
تروح تجيب بوظة؟,ايه بروح يلا,تروح نجيب جيلاتي؟,اه نروح يلا
عالي الركوة عالنار لنعمل قهوة,عاليتها زمان وبلشت تغلي,عالي النار عالكنكة عشان نعمل قهوة,عاليتها من زمان وبلدأت تغلي
تشرب شاي او قهوة؟,في شاي اخضر؟,تشرب شاي ولا قهوة؟,فيه شاي اخضر ؟
كم يوم بعد عندك؟,اسبوع بالكثير,فاضلك كام يوم؟,اسبوع بالكتير
فيك تمضي هون؟,عطيني قلم,ممكن تمضي هنا؟,اديني قلم
ليش هيدا شايف حالو؟,ايه وكلو عشي فاضي,ليه شايف نفسه ده؟,اه وكله عالفاضي
اديه اليوم في بالشهر؟,اليوم عشرة الشهر,انهردة كام في الشهر؟,اليوم عشرة في الشهر
ايمتى حتقبض معاشك؟,بخمسة الشهر,امتى حتقبض مرتبك؟,في خمسة الشهر
ليش بتضلك قلقان روق,رايق رايق مش قلقان,ليه بتفضل قلقان روّق,رايق رايق مش قلقان
شو بدك تعمل بعد الأفطار؟,بدي كمل درس,عايز تعمل ايه بعد الأفطار؟,عايز اكمل درس
مين اجا لعنا؟,ولاد الجيران,مين جه عندنا,ولاد الجيران
دور السيارة وحميها عبين ما اضهر,يلا ماشي,دور العربية و سخنها على بال ماخرج,يلا ماشي
معش زبطت معي ابدا,جرب بعد مرة,مزبطتش معايا ابدا,جرب كمان مرة
شو رأيك نروح نسهر عندك؟,ما عندي وقت والله,ايه رأيك نروح نسهر عندك؟,ماعنديش وقت والله
تصبح على خير,وانت من اهل الخير,تصبح على خير,وانت من اهل الخير
شو عم اتابع مسلسلات,مش عم تابع شي,بتاببع مسلسلات ايه,مش بتابع حاجة
ليش ساكت؟,شو بدك ياني قول؟,ليه ساكت؟,عايزني اقول ايه؟
شو بلشتو شغل بالورشة؟,ايه وصرنا خالصين كمان,ايه بداتوا في الورشة؟,اه وخلصنا كمان
لك تعبان وما الي خلق على شي,ليش صاير معك شي؟,ياعم تعبان ما ليش خلق على حاجة,ليه حاصل معاك حاجة؟
عم اتصل فيك ليش مش عم ترد؟,التلفون مش حدي,عمال بتصل بيك مش بترد ليه؟,التلفون مش جمبي
شو ايمتى حتبلش شغل؟,حبلش بخمسة الشهر,ايه امتى حتبدا شغل؟,حبدأ خمسة الشهر
معك ورقة وقلم؟,لشو بدك ياهن؟,معاك ورقة و قلم؟,عايزهم ليه؟
دور هالتلفزيون لنحضر اخبار,يلا حاضر لح دورلك يا,شغل التلفزيون عشان نشوف الاخبار,يلا حاضر حشغلهولك
شو عاملين عشا؟,مناقيش عالصاج,عاملين عشا ايه؟,مناقيش على الصاج
ليش بتضلك متشائم؟,مش بإيدي الوضع صعب,ليه بتفضل متشائم؟,مش بإيدي الوضع صعب
كيف حترجع عالبيت؟,بالفان او مشي,حترجع البيت اذاي؟,بالمشروع او مشي
كم كيلو مسموح تحمل معك؟,عشرين كيلو بس,مسموح تشيل معاك كام كيلو؟,عشرين كيلو بس
شو ايمتى منّا نفرح فيك؟,بعيد الشرّ ما بدي هلق,ايه امتى حنفرح بيك؟,بعد الشر مش عايز دلوقتي
جيب الكاميرا معك لنتصور,ماشي لح جبيها,جيب كاميرا معاك عشان نتصور,ماشي حجيبها
مين ضرب السيارة؟,ما بعرف مش انا,مين ضرب العربية,ماعرفش مش انا
شو صايم اليوم؟,اكيد الحمدلله,ايه صايم انهردة؟,اكيد الحمدلله
ليش الورد دبلان؟,صرنا زمان ما سقينا. اليوم حاسقيه,ليه الورد دبلان ؟,بقلنا زمان ماسيقناش. اليوم حاسقيه
ليش عم تحكي معي بهل نبرة؟ وطي صوتك,عفوا انا متوتر شوي.,ليه بتكلم معايا بالنبرة ديه؟ وطي صوتك,معلش انا متوتر شوية.
راسي عم يوجعني وعليي شوية حرارة,سلامة قلبك. خود حبة دوا,راسي بيوجعني و عليا حرارة,سلامة قلبك خود حباية دوا
بشو عم تفكر؟,عم فكر فيك,بتفكر في ايه؟,بفكر فيك
وين صفيت السيارة؟,تحت حد البحر,ركنت العربية فين ؟,تحت جمب البحر
تروح نسبح الأحد؟,ايه بروح ما عندي مشكل,نروح نعوم الحد؟,اه اروح ماعنديش مشاكل
تروح نكزدر عالكورنيش؟,عندي اجتماع عالساعة اربعة ما بقدر,نروح نتمشى على الكورنيش؟,عندي اجتماع الساعة اربعة ماقدرش
ايام الأضراب مدفوعة؟,لا مش مدفوعة,ايام الأضراب مدفوعة؟,لا مش مدفوعة
الله يخليك تكويلي القميص؟,اكيد حبيبي تكرم عيونك,الله يخليك تكويلي القميص؟,اكيد حبيبي تسلم عينك
حيعطونا زودة عالمعاش كرمال العيد!,حلو مبروك! لح تسير غني يعني ؟,حيدونا علاوة على المرتب عشان العيد!,حلو مبروك! حتبقى غني يعني ؟
مش ضروري نقعد هون على كل حال,ايه في مطارح احسن بكتير,مش ضروري نقعد هنا على كل حال,اه في اماكن احسن بكتير
